ID,HousePrice,yhat,delta
7857,919497.0,660072.2972680626,259424.7027319374
1641,283680.0,289177.7929764437,-5497.792976443714
3620,135818.0,166619.49465333688,-30801.49465333688
2820,468742.0,398384.2845104754,70357.71548952459
1572,311065.0,389518.48995961936,-78453.48995961936
202,228740.0,198964.59339845268,29775.40660154732
8169,260611.0,294784.6602290217,-34173.66022902168
6212,199843.0,210704.12894275782,-10861.128942757816
6754,273619.0,260715.37364563262,12903.626354367385
5197,334528.0,313213.8146918347,21314.185308165324
5170,371797.0,411610.51049034786,-39813.510490347864
3987,129547.0,124654.76735315597,4892.23264684403
8088,241878.0,193002.01313984956,48875.98686015044
1181,544164.0,503632.3739617061,40531.62603829388
5703,233936.0,248737.98668513415,-14801.98668513415
7979,340244.0,310809.2917819942,29434.708218005777
2546,673459.0,670056.0497525126,3402.9502474874025
5831,219892.0,261525.2134259638,-41633.2134259638
2288,136479.0,178225.2614709318,-41746.261470931786
7372,284417.0,262588.54457176215,21828.455428237852
8553,401696.0,313633.7453586322,88062.25464136782
605,400036.0,503496.1557138085,-103460.15571380849
7343,502384.0,454250.3455286311,48133.65447136888
6956,432570.0,460794.6943775057,-28224.694377505686
6787,271336.0,208790.67410792486,62545.32589207514
8790,259581.0,283810.44718933845,-24229.447189338447
8875,368614.0,391362.91018526495,-22748.910185264947
5222,449834.0,442119.0895644128,7714.910435587226
6583,268084.0,249646.3152303941,18437.684769605898
4457,326357.0,410688.6879428131,-84331.68794281309
3798,513051.0,499357.119905585,13693.880094414984
8692,484256.0,663018.1510235486,-178762.15102354856
9185,391848.0,508781.22743687866,-116933.22743687866
9170,289229.0,303536.6295907549,-14307.629590754921
6922,396836.0,566598.8544448132,-169762.85444481322
1816,299874.0,315679.89577785763,-15805.89577785763
889,453808.0,389502.65466081514,64305.34533918486
2315,197244.0,197667.92962042944,-423.9296204294369
3837,348815.0,331519.1229527243,17295.877047275717
8611,573658.0,590494.8504976972,-16836.850497697247
5917,269948.0,237208.23188195465,32739.76811804535
6719,133645.0,110666.408687511,22978.591312489007
5994,367737.0,464341.0238935695,-96604.02389356948
9266,252230.0,233527.08907518658,18702.91092481342
4038,104509.0,110147.09100402708,-5638.091004027083
2556,559989.0,429561.04906372126,130427.95093627874
3330,300314.0,334262.37493581825,-33948.374935818254
9027,112586.0,108427.708390415,4158.291609584994
486,225432.0,228535.0752944614,-3103.0752944613923
5064,421310.0,469407.74288811145,-48097.74288811145
3314,357001.0,317730.68160980206,39270.318390197936
3744,204498.0,224537.28449130617,-20039.28449130617
5128,346301.0,348038.07411785057,-1737.0741178505705
8075,467567.0,500779.0174993176,-33212.01749931759
1626,722563.0,495440.5846326314,227122.4153673686
5519,547190.0,661481.5677073202,-114291.56770732021
5771,309847.0,310550.48409141717,-703.4840914171655
1845,361572.0,292972.61357139144,68599.38642860856
3905,173822.0,198822.96684345056,-25000.96684345056
3335,315375.0,294000.7889939373,21374.211006062687
1027,153949.0,149949.79327695532,3999.2067230446846
8618,225252.0,184473.11250397057,40778.887496029434
7935,121715.0,128954.68730080604,-7239.687300806036
4478,543538.0,530295.1734347224,13242.826565277646
2515,338222.0,379112.01059302496,-40890.010593024956
3447,159984.0,207905.65659826287,-47921.65659826287
3961,260012.0,307037.33788987435,-47025.337889874354
268,92160.0,103867.35095876524,-11707.350958765237
2075,244701.0,347106.59911733965,-102405.59911733965
5778,397709.0,320338.4316043343,77370.56839566567
4947,246083.0,309295.40190834814,-63212.40190834814
2216,308541.0,395211.844000906,-86670.84400090599
8493,483930.0,532347.909289743,-48417.90928974305
4607,390569.0,351020.5971948024,39548.40280519758
2396,136502.0,162244.48871719962,-25742.488717199623
7620,303201.0,278092.78070013685,25108.21929986315
4459,443205.0,484239.61230997654,-41034.61230997654
8289,91960.0,102294.07754065582,-10334.077540655824
163,354225.0,294044.1970851758,60180.80291482422
8805,358049.0,320916.5010565057,37132.49894349428
552,237726.0,242246.6983077742,-4520.698307774204
4382,278715.0,260358.1346139962,18356.865386003803
7172,380327.0,364550.82487888297,15776.175121117034
9230,268497.0,242860.36643434572,25636.63356565428
2488,175443.0,187796.65044871517,-12353.650448715169
3146,234366.0,239121.18097177116,-4755.1809717711585
7483,131104.0,150609.00153866393,-19505.001538663928
5621,70388.0,307433.8864655103,-237045.8864655103
9061,136715.0,144194.71876436347,-7479.718764363468
4088,300611.0,272716.9795339458,27894.020466054208
6314,84167.0,86505.478261328,-2338.4782613279967
6731,235395.0,258214.87038191143,-22819.87038191143
5398,102631.0,109835.30997320845,-7204.309973208452
5919,283927.0,317357.87781750935,-33430.87781750935
2968,218429.0,239920.34087540995,-21491.34087540995
8672,227943.0,222186.85822213045,5756.141777869547
7664,234858.0,272464.97813793214,-37606.978137932136
6624,304836.0,261739.76243663463,43096.23756336537
4709,201634.0,233239.6531311526,-31605.65313115259
677,362552.0,376496.1478535029,-13944.147853502887
7094,535201.0,447592.57773397485,87608.42226602515
7284,320779.0,330822.0837406526,-10043.083740652597
6367,199533.0,196636.26020973927,2896.7397902607336
1828,159227.0,179574.89431977863,-20347.89431977863
1058,560275.0,634478.0617885487,-74203.06178854872
3365,277449.0,331102.03977133986,-53653.039771339856
7245,462874.0,520203.672750953,-57329.672750953
2788,527478.0,525577.1252964761,1900.8747035239358
7362,200722.0,213889.6531786837,-13167.653178683686
7244,143531.0,146893.35187311296,-3362.351873112959
3596,137796.0,123416.87294832565,14379.127051674353
3633,174855.0,213510.91871292982,-38655.91871292982
1139,379752.0,317743.7664307413,62008.23356925871
9226,265919.0,275003.0470765308,-9084.047076530813
1449,324651.0,297135.10848809587,27515.891511904134
8239,372556.0,370654.14796154306,1901.852038456942
7398,485423.0,400301.6947584107,85121.30524158932
6009,469064.0,387251.96998550836,81812.03001449164
6862,147590.0,153119.52172029202,-5529.521720292018
8022,591995.0,557658.3451301325,34336.65486986749
5340,202187.0,259694.12792802896,-57507.12792802896
4740,101356.0,67465.57074945794,33890.42925054206
4124,421334.0,410720.4538535765,10613.546146423498
8689,375529.0,413027.8155529599,-37498.81555295992
7436,485696.0,443349.0346419938,42346.965358006186
148,349625.0,324707.31089494197,24917.68910505803
1337,394795.0,464403.4294192958,-69608.4294192958
248,168700.0,236836.90459876307,-68136.90459876307
6511,241135.0,291438.7166413708,-50303.71664137079
